"MLS Number","Type","Air Conditioning","Apartment YN","List Price","Patio","% Interests In Common Elmts","School Elementary","School High","School Junior","School Middle","Photo Count","Pool Type","Pools Num","Property Type","Prop Type","Rear Yard Vehicle Access YN","Roof Type","Gas Type","Green Building Cert Attached YN","Heating","Lot Size","Navigable YN","Original List Price","Out Building","Approx Living Area","Acres#","Appliance Included","Bounding Streets","Car Storage","Condition","Energy Efficient Features","Exterior","Exterior Features","Fireplace","Foundation","LP/SqFt","Age Desc 1","Cond","Approx Total SqFt","Beds Total","Baths Full","Baths Half","Age","DOM","Car Stor","Sold Price","Sold Date","SP$/SQFT"
"CN159940","SGL","Central","","$72,500","Covered","","","","","","13","","","Residential","RES","","Asphalt","","","Central","67.35 x 120.55 x 109.63 x 100.","","","","1,295","0.25","CookTop, Refrigerator, Range/Oven","","Attached, Carport","","","","Fence","","","$55.98","","","1,788","3","1","","","7","AT,CP","$66,000","12/09/2020","$50.97  "
"CN159896","SGL","Central","","$255,000","","","","","","","26","","","Residential","RES","","Shingle","","","Central","75.14x134.42x75.03x132.04","","","","1,752","0.24","","","Two, Garage","","","","","Yes","","$145.55","","","1,752","3","2","","","2","2,GR","$251,000","12/14/2020","$143.26  "
"CN159952","SGL","Central","","$135,000","Yes","","","","","","12","","","Residential","RES","","Asphalt","","","Central, Gas","50 x 154","","","Shed","1,423","0.17","CookTop, Disposal, Dishwasher, Microwave, Range/Oven","","","","","Frame","Fence","","Raised","$94.87","","","1,450","3","1","0","","88","","$130,000","03/22/2021","$91.36  "
"CN159944","SGL","Central","","$225,000","","","","","","","46","","","Residential","RES","","Asphalt","","","Central","139.8x99.5x140x99.34","","","Shed","2,146","0.32","CookTop, Disposal, Dishwasher, Microwave, Refrigerator, Range/Oven","","Two, Carport, Driveway Only","","","","Fence, Porch","Wood, Yes","Slab","$104.85","","","2,500","3","2","","","24","2,CP,DR","$212,500","01/19/2021","$99.02  "
"CN159957","SGL","Central","","$199,900","","","","","","","18","","","Residential","RES","","Asphalt","","","Central, Gas","105x115x117x117","","","","1,856","0.34","","","Two, Carport","","","","","Yes","Slab","$107.70","","","2,667","4","2","1","","62","2,CP","$195,500","02/23/2021","$105.33  "
"CN159951","SGL","Central","","$178,000","","","","","","","16","","","Residential","RES","","Asphalt","","","Central","79x121x86x121","","","","1,650","0.24","CookTop, Disposal, Dishwasher, Microwave","","Two, Attached, Carport","","","Brick, Frame","Fence","Yes","Slab","$107.88","","","2,075","3","2","","","3","2,AT,CP","$180,120","01/29/2021","$109.16  "
"CN159978","SGL","Central","","$338,000","Covered","","","ASH","","","28","","","Residential","RES","","Shingle","","","Central","86 X 183 X 186 X 196","","","","2,261","0.75","CookTop, Double Oven, Dishwasher, Microwave, Refrigerator","","Two, Carport, Driveway Only","","Insulation, Windows","","Fence, Porch","Gas, Wood, Yes","Slab","$149.49","","","3,360","4","2","0","","173","2,CP,DR","$338,000","06/25/2021","$149.49  "
"CN159966","SGL","Central","","$124,900","Yes","","","","","","19","","","Residential","RES","","Asphalt","","","Central","75x75.56x15x75.56x60x151.12","","","","1,520","0.24","CookTop, Dishwasher, Microwave, Range/Oven","","Driveway Only","","","Brick, Frame","Fence","","","$82.17","","","1,620","4","1","1","","2","DR","$131,800","01/08/2021","$86.71  "
"CN159994","SGL","Central","","$109,900","","","","","","","12","","","Residential","RES","","Asphalt","","","Central","150x77","","","","1,684","0.27","","","One, Detached, Garage","","","","Fence","","Slab","$65.26","","","1,684","3","2","0","","15","1,DE,GR","$115,000","01/08/2021","$68.29  "
"CN160002","SGL","Central","","$174,990","Covered","","","","","","10","","","Residential","RES","","Shingle","","","Central","52.15 x 100","","","","1,328","0.12","CookTop, Dishwasher, Microwave, Range/Oven","","Two, Driveway Only, Garage","","Insulation, Windows","","","","Slab","$131.77","","","1,877","3","2","","","2","2,DR,GR","$175,000","01/11/2021","$131.78  "
"CN159981","SGL","Central","","$329,500","Yes","","","","","","25","","","Residential","RES","","Shingle","","","Central","120x119x87x210x236x121","","","Workshop","3,457","0.54","CookTop, Dishwasher, Range/Oven","","Two, Covered, Driveway Only, Garage","","","Vinyl Siding","Fence","Gas, Wood, Yes","Raised, Slab","$95.31","","","4,622","4","3","","","92","2,CV,DR,GR","$314,750","05/07/2021","$91.05  "
"CN160033","SGL","Central","","$525,000","Covered","","","","","","30","Inground","1","Residential","RES","","Shingle","","","Central",".49","","","","3,367","0.48","CookTop, Double Oven, Disposal, Dishwasher, Microwave, Refrigerator, Range/Oven","","Three or More, Attached, Driveway Only, Garage","","Insulation, Windows","Stucco","Fence, Porch, Sprinkler System","Gas, Wood, Yes","Slab","$155.93","NEW","","5,468","5","4","1","","238","3PLUS,AT,DR,GR","$480,000","09/03/2021","$142.56  "
"CN158851","SGL","Central","","$179,900","Yes","","","","","","22","","","Residential","RES","","Shingle","","","Central","78x107x75x106","","","Shed","1,593","0.21","CookTop, Disposal, Dishwasher, Microwave, Refrigerator, Range/Oven","","Two, Attached, Carport, Driveway Only","","Insulation, Windows","","Fence, Porch","Wood, Yes","Slab","$112.93","","","2,005","3","2","","","4","2,AT,CP,DR","$179,900","12/15/2020","$112.93  "
"CN159897","SGL","Central","","$180,000","","","","","","","20","","","Residential","RES","","Asphalt","","","Central, Gas","90x97.38x90.02x95.05","","","","2,960","0.20","CookTop, Dishwasher, Range/Oven","","","","","Vinyl Siding","Fence","","Raised","$60.81","","","2,960","3","3","","","4","","$180,000","01/12/2021","$60.81  "
"CN160036","SGL","Central","","$230,000","Covered","","","","","","11","","","Residential","RES","","Asphalt","","","Central, Gas","100x174.14","","","Shed","2,564","0.40","CookTop, Range/Oven","","","","Insulation, Windows","Vinyl Siding","Fence","","Raised","$89.70","","","3,289","5","3","","","12","","$220,000","01/15/2021","$85.80  "
"CN160023","SGL","Central","","$163,000","","","Martin Pk","","","","35","","","Residential","RES","","Asphalt","","","Central, Gas","85 x 150","","$159,999","Shed, Workshop","2,066","0.33","CookTop, Range/Oven","","Two, Attached, Carport","","","","Fence, Porch","","Slab","$78.90","","","2,961","4","3","","","311","2,AT,CP","$165,000","11/12/2021","$79.86  "
"CN160038","SGL","Window Unit","","$71,300","","","","","","","6","","","Residential","RES","","Asphalt","","","Other","70x181x70x181","","","","1,375","0.34","","","One, Carport","","","Aluminum Siding","","","Raised","$51.85","","","1,909","2","1","","","1","1,CP","$65,000","01/04/2021","$47.27  "
"CN160052","SGL","Central","","$138,880","Yes","","","","","","27","","","Residential","RES","","Asphalt","","","Central","68.18'x156.09'x102.13'x150'","","","Shed","1,455","0.30","CookTop, Dishwasher, Microwave, Refrigerator, Range/Oven","","Two, Carport, Driveway Only","","","","Fence","Wood, Yes","Slab","$95.45","","","1,870","3","2","","","65","2,CP,DR","$128,500","03/19/2021","$88.32  "
"CN160109","SGL","Central","","$225,000","Yes","","","","","","30","","","Residential","RES","","Shingle","","","Central, Gas","93x144.72x95x131.45","","","Shed","2,241","0.35","Dishwasher, Range/Oven","","Two, Attached, Carport, Covered, Driveway Only","","","Vinyl Siding","Fence, Porch","Wood, Yes","Slab","$100.40","","","3,798","3","2","0","","11","2,AT,CP,CV,DR","$215,000","03/10/2021","$95.94  "
"CN160032","CND","Central","","$209,500","","","","","","","23","Community","","Residential","RES","","Shingle","","","Central","34X48X34X48","","","","1,538","0.13","Refrigerator","","Two, Garage","","","Brick, Frame","Fence","Wood, Yes","","$136.22","","","1,538","2","2","","","2","2,GR","$202,500","12/30/2020","$131.66  "
"CN160088","SGL","Central","","$169,900","","","","","","","14","","","Residential","RES","","Asphalt","","","Central","103x362x103x334","","","","1,367","1.00","CookTop, Disposal, Dishwasher, Microwave, Range/Oven","","Attached, Garage","","","","Fence","","","$124.29","","","1,367","3","2","","","30","AT,GR","$159,999","02/12/2021","$117.04  "
"CN160106","SGL","Central","","$284,000","Covered","","","","","","30","","","Residential","RES","","Shingle","","","Central","41x100x96x106","","","","2,101","0.19","CookTop, Disposal, Dishwasher, Microwave, Refrigerator, Range/Oven","","Two, Driveway Only, Garage","","Insulation, Windows","Stucco","Porch","Gas, Yes","Slab","$135.17","","","2,738","4","2","","","4","2,DR,GR","$284,000","12/30/2020","$135.17  "
"CN160097","SGL","Central","","$249,500","","","","","","","14","","","Residential","RES","","Shingle","","","Central","150x91x148x82","","","","1,950","0.26","CookTop, Disposal","","Two, Carport, Driveway Only","","","","Fence","Wood, Yes","Slab","$127.95","","","1,992","3","2","","","0","2,CP,DR","$249,500","12/30/2020","$127.95  "
"CN160095","SGL","Central","","$45,000","Yes","","","","","","6","","","Residential","RES","","Asphalt","","","Central","58x230x55x21","","","Shed","1,050","0.30","","","One, Carport","","","Frame","Fence","","Raised","$42.86","","","1,050","3","1","","","20","1,CP","$36,000","12/31/2020","$34.29  "
"CN160093","SGL","Central","","$269,000","Covered","","","","","","31","","","Residential","RES","","Shingle","","","Central","111'X16'1X108'X161'","","","","2,699","0.41","CookTop, Disposal, Dishwasher, Microwave, Refrigerator, Range/Oven","","Two, Attached, Carport, Driveway Only","","Insulation, Windows","","Fence, Porch","Wood, Yes","Slab","$99.67","","","3,384","4","2","1","","49","2,AT,CP,DR","$260,000","03/19/2021","$96.33  "
"CN160091","SGL","Central","","$230,500","Covered","","","","","","29","","","Residential","RES","","Shingle","","","Central","86X122","","","","1,535","0.24","CookTop, Disposal, Dishwasher, Microwave, Range/Oven","","Two, Carport","","Insulation","","","","Slab","$150.16","","","2,256","3","2","","","23","2,CP","$230,500","03/26/2021","$150.16  "
"CN160120","SGL","Central","","$198,000","Covered","","","","","","24","","","Residential","RES","","Asphalt","","","Central","140x273x264x170","","","Shed","1,724","0.94","CookTop, Dishwasher, Range/Oven","","Two, Carport, Driveway Only","","","","Bayou, Fence","Wood, Yes","Slab","$114.85","","","2,880","3","2","","","7","2,CP,DR","$198,000","01/19/2021","$114.85  "
"CN160099","CND","Central","","$160,000","Yes","","","","","","24","","","Residential","RES","","Shingle","","","Central","107x37","","","","2,078","0.90","CookTop, Disposal, Dishwasher, Microwave, Refrigerator, Range/Oven, Trash Masher","","Two, Driveway Only, Garage","","","Brick, Frame","Fence, Porch","Yes","Slab","$77.00","","","3,108","2","2","1","","42","2,DR,GR","$150,000","04/15/2021","$72.18  "
"CN160005","SGL","Central","","$179,900","Covered","","","","","","17","","","Residential","RES","","Asphalt","","","Central, Gas","155x81x153x81","","","Shed, Workshop","1,713","0.32","CookTop, Dishwasher, Microwave, Range/Oven","","Driveway Only","","","Frame, Vinyl Siding","Fence, Porch","Gas, Yes","Raised, Slab","$105.02","","","1,713","3","2","","","16","DR","$175,000","02/08/2021","$102.16  "
"CN160129","SGL","Central","","$409,500","Covered","","","","","","28","","","Residential","RES","","Shingle","","","Central","231x125x112x83x114","","","","2,655","0.64","CookTop, Disposal, Dishwasher, Microwave, Refrigerator, Range/Oven","","Three or More, Driveway Only, Garage","","Insulation, Windows","","Sprinkler System","Yes","Slab","$154.24","","","4,254","4","3","0","","62","3PLUS,DR,GR","$409,500","02/05/2021","$154.24  "
"CN160084","SGL","Central","","$650,000","Covered","","","","","","39","Inground","1","Residential","RES","","Shingle","","","Central, Gas","124x194x126x196","","","Workshop","5,052","0.58","CookTop, Double Oven, Disposal, Dishwasher, Microwave, Refrigerator, Trash Masher","","Two, Carport, Covered, Driveway Only","","","Frame, Stucco","Porch, Sprinkler System","Gas, Wood, Yes","Slab","$128.66","","","7,093","4","3","1","","94","2,CP,CV,DR","$565,000","04/13/2021","$111.84  "
"CN160138","SGL","Central","","$224,900","Covered","","","","","","31","","","Residential","RES","","Asphalt","","","Central, Gas","105 x 137.3","","","Workshop","2,183","0.37","CookTop, Double Oven, Disposal, Dishwasher, Microwave","","Two, Carport, Driveway Only","","","","Fence, Porch","Wood, Yes","Slab","$103.02","","","2,253","3","2","1","","87","2,CP,DR","$215,000","04/08/2021","$98.49  "
"CN160148","SGL","Central","","$329,900","Covered","","","","","","24","","","Residential","RES","","Shingle","","","Central","158x268x70x73x250","","","","2,949","0.88","CookTop, Disposal, Dishwasher, Microwave, Range/Oven","","Two, Driveway Only, Garage","","","","Bayou","Yes","Slab","$111.87","","","3,600","4","2","","","2","2,DR,GR","$320,000","01/20/2021","$108.51  "
"CN160171","SGL","Central","","$88,500","","","","","","","7","","","Residential","RES","","Asphalt","","","Central, Gas","50'X151'X50'X151'","","","Shed","1,776","0.17","CookTop, Dishwasher, Refrigerator, Range/Oven","","One, Carport","","","","Fence","","","$49.83","","","1,776","3","2","0","","7","1,CP","$88,500","03/02/2021","$49.83  "
"CN160153","SGL","Central","","$130,000","","","","","","","12","","","Residential","RES","","Asphalt","","","Central","39.78x141.2x161.5x53.73x188.84","","","","1,293","0.43","CookTop, Disposal, Dishwasher, Refrigerator, Range/Oven","","Two, Attached, Carport, Driveway Only","","Insulation, Windows","Brick, Frame","","","Slab","$100.54","","","1,943","3","2","","","7","2,AT,CP,DR","$125,000","03/17/2021","$96.67  "
"CN160176","TNH","Central","","$145,000","","","","","","","21","","","Residential","RES","","Asphalt","","","Central","21 x 152.74","","","","1,414","0.07","Dishwasher, Microwave, Range/Oven","","Two, Driveway Only, Garage","","","","Fence, Porch","Wood, Yes","","$102.55","","","1,969","2","2","1","","76","2,DR,GR","$142,500","03/31/2021","$100.78  "
"CN160197","SGL","Window Unit","","$109,900","","","","","","","25","","","Residential","RES","","Asphalt","","","Ductless Wall Unit","130 X 205","","","Workshop","1,876","0.66","","","Two, Attached, Carport","","","","","","Slab","$58.58","","","2,339","3","2","","","20","2,AT,CP","$98,500","02/04/2021","$52.51  "
"CN160189","SGL","Window Unit","","$103,900","Covered","","","","","","28","","","Residential","RES","","Asphalt","","","Gas, Other","108.7 x 300.1 x 108.7 x 301.25","","","","1,490","0.77","Dishwasher, Range/Oven","","One, Attached, Garage","","","Frame","Fence","","Slab","$69.73","","","2,075","3","2","","","124","1,AT,GR","$106,400","07/02/2021","$71.41  "
"CN160182","SGL","Central","","$169,900","Covered, Yes","","","","","","17","","","Residential","RES","","Shingle","","","Central, Gas","100X166.46","","","","1,871","0.32","CookTop, Dishwasher, Microwave, Refrigerator, Range/Oven","","Two, Carport, Driveway Only","","","","Fence, Porch","","","$90.81","","","2,600","3","2","0","","3","2,CP,DR","$173,400","02/05/2021","$92.68  "
"CN160218","SGL","Central","","$139,900","Covered","","","","","","19","","","Residential","RES","","Shingle","","","Central, Gas","70 x 125","","","","1,100","0.21","Range/Oven","","One, Attached, Carport, Driveway Only","","","","Fence","","Slab","$127.18","","","1,200","3","1","","","6","1,AT,CP,DR","$135,000","01/22/2021","$122.73  "
"CN160207","SGL","Central","","$159,000","Covered, Yes","","Martin Par","Peabody","","A. Smith","30","","","Residential","RES","","Asphalt","","","Central, Gas","49x73x127x85x129","","","Shed","1,755","0.36","CookTop, Dishwasher, Microwave, Refrigerator, Range/Oven","","Two, Attached, Carport, Driveway Only","","","","Fence, Porch","Wood, Yes","Slab","$90.60","","","2,538","4","2","","","163","2,AT,CP,DR","$150,000","06/25/2021","$85.47  "
"CN160270","SGL","Ductless Wall Unit","","$89,900","","","","","","","7","","","Residential","RES","","Asbestos","","","Central","65 x 117.66 75 x 117.73","","","","1,198","0.17","Range/Oven","","","","","","","","Slab","$75.04","","","1,198","2","1","0","","165","","$70,000","07/01/2021","$58.43  "
"CN160237","SGL","Central","","$185,000","Yes","","","","","","11","","","Residential","RES","","Shingle","","","Central","80x140x80x140","","","","1,682","0.26","CookTop, Disposal, Dishwasher, Refrigerator","","Two, Garage","","","","Fence","Yes","","$109.99","","","2,247","3","2","","","18","2,GR","$180,000","02/03/2021","$107.02  "
"CN160222","SGL","Central, Window Unit","","$139,900","Covered","","","","","","47","","","Residential","RES","","Metal","","","Central, Other","184.5 x 120.5 x 120.5","","","","1,675","0.19","CookTop, Disposal, Dishwasher, Refrigerator, Range/Oven","","Attached, Carport, Driveway Only","","","","Fence","","Slab","$83.52","","","2,038","3","2","","","167","AT,CP,DR","$135,000","08/31/2021","$80.60  "
"CN160235","SGL","Window Unit","","$55,000","","","","","","","14","","","Residential","RES","","Asphalt","","","Other","148x48x149x50","","","","1,800","0.17","","","One, Detached, Garage","","","","","Wood, Yes","","$30.56","","","1,883","3","1","","","29","1,DE,GR","$47,250","02/25/2021","$26.25  "
"CN160263","SGL","Central","","$339,900","Covered","","","","","","22","","","Residential","RES","","Shingle","","","Central","0.279","","","","1,913","0.28","CookTop, Disposal, Dishwasher, Microwave, Range/Oven","","Two, Garage","","","Brick, Frame","Fence","Gas, Yes","Slab","$177.68","","","2,959","3","2","","","35","2,GR","$335,000","03/03/2021","$175.12  "
"CN160216","TNH","Central","","$102,000","","","","","","","14","","","Residential","RES","","Asphalt","","","Central","149.97X60X149.97X60","","","Shed","1,042","0.11","CookTop, Dishwasher, Range/Oven","","","","","Vinyl Siding","Fence","Wood, Yes","","$97.89","","","1,042","2","1","1","","190","","$97,500","08/13/2021","$93.57  "
"CN160274","SGL","Central","","$82,500","","","","","","","25","","","Residential","RES","","Asphalt","","","Central","165X97X150.37X36","","$95,000","","1,500","0.97","","","Two, Attached, Carport","","","Frame, Vinyl Siding","","","","$55.00","","","1,816","3","1","1","","172","2,AT,CP","$82,000","08/18/2021","$54.67  "
"CN160268","SGL","Central","","$159,500","","","","","","","51","","","Residential","RES","","Shingle","","","Central","86X130","","","","1,730","0.26","Dishwasher, Range/Oven","","Two, Carport","","","","","","Slab","$92.20","","","1,965","4","2","","","22","2,CP","$159,500","02/17/2021","$92.20  "
"CN160290","SGL","Central","","$590,000","Covered","","","","","","4","","","Residential","RES","","Shingle","","","Central","115X161X111X159","","","","3,480","0.40","CookTop, Disposal, Dishwasher, Microwave","","Two, Garage","","","","","Gas, Yes","Slab","$169.54","","","5,299","5","4","","","0","2,GR","$590,000","12/28/2020","$169.54  "
"CN160283","CND","Central","","$192,000","Yes","","","","","","23","","","Residential","RES","","Asphalt","","","Central","32x49x10x32x22x75","","","","1,663","0.06","CookTop, Disposal, Dishwasher, Microwave, Refrigerator, Range/Oven","","Two, Attached, Driveway Only, Garage","","","Vinyl Siding","Fence","","Slab","$115.45","","","1,663","2","2","","","1","2,AT,DR,GR","$192,000","01/27/2021","$115.45  "
"CN160282","SGL","Central","","$265,000","Yes","","","","","","41","Inground","1","Residential","RES","","Shingle","","","Central, Gas","150x160x80x20x158","","","Shed, Workshop","2,321","0.45","CookTop, Dishwasher, Microwave, Refrigerator, Range/Oven","","Two, Driveway Only, Garage","","Water Heater, Insulation, Windows","","Fence","Yes","Slab","$114.17","","","3,067","3","2","","","3","2,DR,GR","$262,000","02/26/2021","$112.88  "
"CN160306","SGL","Central","","$130,000","","","","","","","16","","","Residential","RES","","Shingle","","","Central","85Ã—122","","","Shed","1,920","0.26","Dishwasher","","Two, Attached, Carport, Driveway Only","","","Frame, Vinyl Siding","Fence","Wood, Yes","Slab","$67.71","","","2,400","4","2","","","4","2,AT,CP,DR","$142,647","01/22/2021","$74.30  "
"CN160332","SGL","Central","","$759,000","Covered","","","","","","34","","","Residential","RES","","Shingle","","","Central, Gas","112 x 187 x 184 x 68 x 47","","","","4,455","0.48","CookTop, Disposal, Dishwasher, Microwave","","Three or More, Driveway Only, Garage","","Water Heater, Insulation, Windows","","Fence, Porch, Sprinkler System","Gas, Yes","Slab","$170.37","","","6,454","5","4","1","","31","3PLUS,DR,GR","$737,500","03/12/2021","$165.54  "
"CN160318","SGL","Central","","$100,000","Yes","","","","","","23","","","Residential","RES","","Asphalt","","","Central, Gas","138 x 86 x 138 x 86","","","","1,480","0.27","CookTop, Range/Oven","","Two, Carport, Driveway Only","","","Frame","Fence","","Slab","$67.57","","","1,750","3","2","","","6","2,CP,DR","$83,000","02/19/2021","$56.08  "
"CN160307","SGL","Central","","$145,000","Covered","","","","","","32","","","Residential","RES","","Shingle","","","Central","70x180","","","Shed, Workshop","1,200","0.36","CookTop, Dishwasher, Refrigerator, Range/Oven","","One, Attached, Carport, Driveway Only","","","","Fence, Porch","","Slab","$120.83","","","1,350","3","2","","","2","1,AT,CP,DR","$140,000","02/12/2021","$116.67  "
"CN160323","SGL","Central","","$195,000","Covered","","","","","","18","","","Residential","RES","","Asphalt","","","Central, Gas","60x135x60x132","","","","1,471","0.18","CookTop, Disposal, Dishwasher, Microwave","","Two, Attached, Garage","","Water Heater","Stucco","Fence, Porch","Gas, Yes","Slab","$132.56","","","2,205","3","2","","","2","2,AT,GR","$195,000","02/23/2021","$132.56  "
"CN160355","SGL","Central","","$149,900","","","","","","","22","","","Residential","RES","","Asphalt","","","Central, Gas","50 x 136","","","Shed","1,710","0.17","Dishwasher, Range/Oven","","One, Attached, Carport, Driveway Only","","","","Fence, Porch","Wood, Yes","Slab","$87.66","","","1,968","3","1","1","","28","1,AT,CP,DR","$147,000","03/31/2021","$85.96  "
"CN160315","SGL","Central","","$145,000","","","","","","","21","","","Residential","RES","","Asphalt","","","Central, Gas","50x120","","","Workshop","1,405","0.20","CookTop, Disposal, Dishwasher, Microwave, Range/Oven","","Two, Carport, Garage","","","Frame, Vinyl Siding","Fence","Wood, Yes","Raised","$103.20","","","1,490","3","2","","","16","2,CP,GR","$149,500","03/04/2021","$106.41  "
"CN160339","SGL","Central","","$168,000","Covered","","","","","","30","","","Residential","RES","","Shingle","","","Central","75x125x78x125","","","Shed","1,639","0.24","CookTop, Disposal, Dishwasher, Microwave, Refrigerator, Range/Oven","","Two, Attached, Carport, Driveway Only","","","Cedar","Fence, Porch","Wood, Yes","Slab","$102.50","","","2,571","3","2","0","","2","2,AT,CP,DR","$172,000","02/12/2021","$104.94  "
"CN160221","SGL","Window Unit","","$65,000","Covered","","","","","","2","Inground","1","Residential","RES","","Asphalt","","","Gas","98.17x202","","","","1,134","0.46","CookTop, Range/Oven","","One, Attached, Carport","","","Brick, Frame","Porch","Gas, Yes","Slab","$57.32","","","1,848","3","1","","","14","1,AT,CP","$55,000","02/08/2021","$48.50  "
"CN160370","SGL","Central","","$389,000","Covered","","","","","","25","","","Residential","RES","","Shingle","","","Central","N/A","","","","2,564","0.80","CookTop, Dishwasher, Microwave, Range/Oven","","Two, Attached, Garage","","Insulation, Windows","","","Gas, Yes","Slab","$151.72","NEW","","3,498","4","3","1","","3","2,AT,GR","$394,000","02/11/2021","$153.67  "
"CN160366","SGL","Central","","$129,000","","","","","","","13","","","Residential","RES","","Asphalt","","","Central","74.46x100","","","","1,350","0.18","Range/Oven","","Two, Carport","","","Brick, Frame","","","Slab","$95.56","","","1,450","4","2","","","140","2,CP","$129,000","06/29/2021","$95.56  "
"CN160369","SGL","Central","","$439,000","Covered","","","","","","51","","","Residential","RES","","Shingle","","","Central, Gas","96.64x140x96.64x140","","","","2,341","0.29","CookTop, Disposal, Dishwasher, Microwave, Range/Oven","","Two, Attached, Driveway Only, Garage","","Insulation, Windows","","Fence, Porch","Gas, Yes","Slab","$187.53","","","3,437","4","3","","","207","2,AT,DR,GR","$426,000","08/31/2021","$181.97  "
"CN160399","SGL","Central","","$198,000","","","","","","","12","","","Residential","RES","","Shingle","","","Central","90'x126'x89'x126'","","","","2,256","0.29","CookTop, Range/Oven","","Two, Attached, Garage","","","","","Wood, Yes","Slab","$87.77","","","2,746","3","2","","","25","2,AT,GR","$198,000","03/19/2021","$87.77  "
"CN160398","SGL","Central","","$428,500","Covered","","","","","","15","","","Residential","RES","","Asphalt","","","Central","110.58 x 135.62 x 157.44 x 1","","","","2,473","0.48","CookTop, Disposal, Dishwasher, Microwave, Range/Oven","","Two, Garage","","Insulation","Concrete, Stucco","Fence","Gas, Yes","Slab","$173.27","","","3,495","4","2","1","","48","2,GR","$406,777","04/16/2021","$164.49  "
"CN160395","TNH","Central","","$110,000","","","","","","","18","","","Residential","RES","","Asphalt","","","Central","60 x 152","","","Shed","1,025","0.10","CookTop","","","","","Vinyl Siding","","Wood, Yes","Slab","$107.32","","","1,040","2","1","1","","85","","$105,000","05/13/2021","$102.44  "
"CN160406","SGL","Central","","$239,900","","","","","","","27","","","Residential","RES","","Shingle","","","Central","168.50x240.8x142x199.5","","","","2,598","0.78","CookTop, Dishwasher, Range/Oven","","Two, Driveway Only, Garage","","","","","","Slab","$92.34","","","3,052","3","2","1","","197","2,DR,GR","$239,900","08/30/2021","$92.34  "
"CN160440","SGL","Central","","$179,900","Covered","","","","","","40","","","Residential","RES","","Shingle","","","Central","80x128x82x110","","","","1,885","0.25","CookTop, Disposal, Dishwasher, Microwave, Refrigerator, Range/Oven","","Two, Driveway Only, Garage","","","Vinyl Siding","Fence, Porch","Wood, Yes","Slab","$95.44","","","2,563","3","2","","","15","2,DR,GR","$175,000","03/01/2021","$92.84  "
"CN160401","SGL","Central","","$350,000","Yes","","","","","","50","","","Residential","RES","","Asphalt","","","Central, Gas","54.6 x 208 x 207.1 x 277","","","Green House, Guest House, Kennels","3,170","0.64","CookTop, Double Oven, Disposal, Dishwasher, Microwave, Trash Masher","","Two, Carport, Driveway Only","","","Frame, Vinyl Siding","Fence, Porch","Wood, Yes","Raised, Slab","$110.41","","","2,745","4","3","","","19","2,CP,DR","$345,000","03/15/2021","$108.83  "
"CN160396","SGL","Central","","$379,000","","","","","","","44","","","Residential","RES","","Shingle","","","Central","502x181x559x188","","","Workshop","2,446","2.16","","","Two, Attached, Garage","","","Brick, Frame","","Gas, Yes","","$154.95","","","3,623","3","2","1","","3","2,AT,GR","$381,500","02/12/2021","$155.97  "
"CN160365","SGL","Window Unit","","$93,000","Yes","","","","","","10","","","Residential","RES","","Asphalt","","","Central","70x211x72x208","","","Shed","1,311","0.34","CookTop, Dishwasher, Refrigerator, Range/Oven","","One, Driveway Only, Garage","","","","Fence","","Raised, Slab","$70.94","","","1,570","2","1","","","14","1,DR,GR","$93,000","03/11/2021","$70.94  "
"CN160431","SGL","Central","","$134,900","Yes","","","","","","10","","","Residential","RES","","Asphalt","","","Central, Gas","110 X 393 X 110 X 391","","","Shed","1,715","1.06","CookTop, Range/Oven","","Attached, Carport","","","Frame","","Gas, Yes","Raised","$78.66","","","1,856","3","2","","","93","AT,CP","$110,000","05/19/2021","$64.14  "
"CN160482","CND","Central","","$67,000","","","","","","","13","","","Residential","RES","","Shingle","","","Central","20X45","","","","714","0.02","CookTop, Disposal, Dishwasher, Microwave, Range/Oven","","Driveway Only","","","Frame","Porch","","Slab","$93.84","","","714","1","1","","","44","DR","$60,000","03/29/2021","$84.03  "
"CN160458","SGL","Central","","$126,900","Covered","","","","","","20","","","Residential","RES","","Asphalt","","","Central","138 x 57 x 129 x 76","","","Shed","1,073","0.30","CookTop, Range/Oven","","One, Carport","","","","Fence","","Slab","$118.27","","","1,818","3","1","1","","50","1,CP","$122,000","05/10/2021","$113.70  "
"CN160478","SGL","Central, Heat Pump","","$629,900","","","","","","","26","","","Residential","RES","","Shingle","","","Central","147x584x147x600","","","Workshop","3,700","2.17","CookTop, Disposal, Dishwasher, Microwave, Range/Oven","","Two, Driveway Only, Garage","","Insulation, Windows","","Porch","Gas, Wood, Yes","Slab","$170.24","","","4,900","4","3","","","70","2,DR,GR","$630,000","05/17/2021","$170.27  "
"CN160481","SGL","Central","","$170,000","","","","","","","17","","","Residential","RES","","Asphalt","","","Central","73x128x76x128","","","","1,596","0.22","","","Two, Carport","","","","","Wood, Yes","Slab","$106.52","","","2,051","3","2","","","2","2,CP","$175,000","04/05/2021","$109.65  "
