"MLS Number","Type","Air Conditioning","Apartment YN","List Price","Patio","% Interests In Common Elmts","School Elementary","School High","School Junior","School Middle","Photo Count","Pool Type","Pools Num","Property Type","Prop Type","Rear Yard Vehicle Access YN","Roof Type","Gas Type","Green Building Cert Attached YN","Heating","Lot Size","Navigable YN","Original List Price","Out Building","Approx Living Area","Acres#","Appliance Included","Bounding Streets","Car Storage","Condition","Energy Efficient Features","Exterior","Exterior Features","Fireplace","Foundation","LP/SqFt","Age Desc 1","Cond","Approx Total SqFt","Beds Total","Baths Full","Baths Half","Age","DOM","Car Stor","Sold Price","Sold Date","SP$/SQFT"
"BR2021014000","SGL","Central","","$280,000","Concrete, Covered, Yes","","West BR Paris","West BR Paris","","West BR Paris","22","","","Residential","RES","","Shingle","","","Central","82.5 x 21.2 x 106.5 x 96 x 120","","$280,000","","1,856","0.26","CookTop, Disposal, Dishwasher, Microwave, Oven, Range/Oven","","Two, Attached, Garage, Off Street Parking","","","Brick, Stucco, Vinyl Siding","Fence","Gas, Yes","Slab","$150.86","","","2,990","3","2","","","39","2,AT,GR,OF","$270,000","11/09/2021","$145.47  "
"BR2021014167","SGL","Central","","$240,000","Covered, Yes","","West BR Paris","West BR Paris","","West BR Paris","11","","","Residential","RES","","Shingle","","","Central","80 X 184 X 79 X 190","","$240,000","","1,648","0.34","Disposal, Dishwasher, Ice Maker, Microwave, Range/Oven","","Two, Attached, Garage","","","Brick, Stucco, Vinyl Siding","Fence, Porch","","Slab","$145.63","","","2,301","3","2","","","2","2,AT,GR","$237,000","10/19/2021","$143.81  "
"BR2021014235","SGL","Central","","$250,000","Covered, Yes","","West BR Paris","West BR Paris","","West BR Paris","29","","","Residential","RES","","Shingle","","","Central","65x127x154x179","","$250,000","Shed","1,709","0.36","CookTop, Disposal, Dishwasher, Microwave, Range/Oven","","Two, Attached, Carport, Driveway Only","","","Brick, Stucco","Fence, Porch","Gas, Yes","Slab","$146.28","","","2,671","3","2","","","3","2,AT,CP,DR","$249,000","11/05/2021","$145.70  "
"BR2021014318","SGL","Central","","$303,275","Covered","","West BR Paris","West BR Paris","","West BR Paris","2","","","Residential","RES","","Shingle","","","Central, Gas","100x140","","$303,275","","2,349","0.25","Disposal, Dishwasher, Microwave, Range/Oven","","Two, Attached, Garage","","","Brick, Frame, Stucco","Porch","Gas, Yes","Slab","$129.11","","","3,239","4","3","","","0","2,AT,GR","$303,275","11/29/2021","$129.11  "
"BR2021014423","TNH","Central","","$185,000","","","West BR Paris","West BR Paris","","West BR Paris","19","","","Residential","RES","","","","","Two","25X100","","$185,000","","1,516","0.06","","","Two, Garage","","","Brick, Vinyl Siding","Porch, Sprinkler System","","Slab","$122.03","","","2,042","3","2","","","4","2,GR","$181,000","10/15/2021","$119.39  "
"BR2021014444","SGL","Central","","$281,000","Brick, Concrete, Covered","","West BR Paris","West BR Paris","","West BR Paris","28","","","Residential","RES","","Shingle","","","Central","60 X 155","","$289,900","","1,993","0.23","Disposal, Dishwasher, Microwave","","Two, Attached, Driveway Only, Garage","","","Brick, Frame, Stucco","Fence, Porch, Window Screens","Yes","Slab","$140.99","","","2,534","3","2","","","13","2,AT,DR,GR","$282,000","11/09/2021","$141.50  "
"BR2021014631","SGL","Central","","$296,190","Covered","","West BR Paris","West BR Paris","","West BR Paris","2","","","Residential","RES","","Shingle","","","Central, Gas","100x140","","$296,190","","2,211","0.32","Disposal, Dishwasher, Microwave, Range/Oven","","Two, Attached, Garage","","","Brick, Frame, Stucco","Porch","Gas, Yes","Slab","$133.96","","","3,138","4","3","","","0","2,AT,GR","$296,190","11/30/2021","$133.96  "
"BR2021015338","SGL","Central","","$272,900","Concrete, Covered","","West BR Paris","West BR Paris","","West BR Paris","27","","","Residential","RES","","Shingle","","","Central","92X151X49X140","","$272,900","","1,856","0.24","CookTop, Disposal, Dishwasher, Microwave, Refrigerator, Range/Oven","","Two, Garage","","","Brick, Frame, Stucco, Vinyl Siding","","Gas, Yes","Slab","$147.04","","","2,586","3","2","","","10","2,GR","$270,000","11/23/2021","$145.47  "
"BR2021015574","SGL","Central","","$359,900","Concrete, Covered, Oversized, Yes","","West BR Paris","West BR Paris","","West BR Paris","26","","","Residential","RES","","Shingle","","","Central","80 x 140","","$359,900","","2,610","0.26","CookTop, Disposal, Dishwasher, Microwave, Oven, Refrigerator, Range/Oven","","Two, Attached, Driveway Only, Garage, Off Street Parking","","","Brick, Stucco, Vinyl Siding","Fence","Gas, Yes","Slab","$137.89","","","3,474","4","3","","","7","2,AT,DR,GR,OF","$354,000","11/30/2021","$135.63  "
"BR2021015580","SGL","Central","","$393,000","Covered","","West BR Paris","West BR Paris","","West BR Paris","20","","","Residential","RES","","Shingle","","","Central","80x125","","$399,900","","2,810","0.22","CookTop, Disposal, Dishwasher, Microwave, Oven, Refrigerator","","Two, Attached, Garage","","","Brick, Frame, Stucco","Porch","Gas, Yes","Slab","$139.86","","","3,717","4","3","","","21","2,AT,GR","$393,000","11/29/2021","$139.86  "
