"mls_number"	"property_type"	"air_conditioning"	"appartment_bi"	"patio_bi"	"school_high"	"school_junior"	"school_middle"	"school_general"	"photo_count"	"pool_bi"	"rear_yard_access_bi"	"roof_type"	"roof_type_shingle_bi"	"gas_type"	"out_building_livable_bi"	"out_building_not_livable_bi"	"living_area"	"land_acres"	"appliances_included_bi"	"garage_bi"	"condition"	"energy_efficient_bi"	"exterior_type"	"exterior_features"	"fire_place_bi"	"foundation_type"	"total_area"	"beds_total"	"bath_full"	"bath_half"	"age"	"days_on_market"	"sold_price"	"sold_date"	"sewer_type"	"spa_location"	"stories"	"property_style"	"city_limit_bi"	"subdivision_bi"	"tennis_court_bi"	"termite_contract"	"water_type"	"waterfront_bi"	"post_corona_bi"	"corona_crisis"
"CNC136440"	"SGL"	"central"	0	0	0	0	0	0	2	0	0	"other"	0	"Natural"	0	0	1400	0.79	1	0	"Other"	1	"vinyl"	"porch"	0	"slab"	1936	3	2	0	35	45	164000	42580	"other"	"None"	1	"Not Specific"	1	1	0	"Unknown"	"Public"	0	0	"pre"
"CNC136435"	"SGL"	"central"	0	1	0	0	0	0	6	0	0	"shingle"	1	"Natural"	0	0	1964	1	1	1	"Other"	0	"other"	"none"	1	"slab"	2380	4	2	1	31	135	258000	42671	"other"	"None"	1	"Not Specific"	1	1	0	"Unknown"	"Public"	0	0	"pre"
"CNC136427"	"SGL"	"central"	0	1	0	0	0	0	13	1	0	"other"	0	"Natural"	0	0	2546	0.45	1	1	"Other"	0	"other"	"fence"	0	"slab"	3687	3	2	0	39	103	155000	42634	"city"	"None"	1	"Not Specific"	1	1	0	"Unknown"	"Public"	0	0	"pre"
"CNC136422"	"SGL"	"central"	0	0	0	0	0	0	17	0	0	"other"	0	"Natural"	0	1	1737	0.28	1	0	"Other"	0	"other"	"porch"	0	"slab"	1979	3	1	1	30	62	138500	42597	"city"	"None"	1	"Not Specific"	1	1	0	"Unknown"	"Public"	0	0	"pre"
"CNC136417"	"SGL"	"central"	0	0	0	0	0	0	17	0	0	"other"	0	"Natural"	0	0	2487	0.63	1	1	"Other"	0	"other"	"none"	1	"slab"	3150	4	2	1	37	88	286000	42619	"other"	"None"	1	"Not Specific"	1	1	0	"Unknown"	"Public"	0	0	"pre"
"CNC136414"	"SGL"	"central"	0	0	0	0	0	0	17	0	0	"metal"	0	"Natural"	0	1	2000	0.37	1	0	"Other"	0	"other"	"fence"	0	"raised"	2280	3	1	0	31	123	62000	42657	"city"	"None"	1	"Not Specific"	1	1	0	"Unknown"	"Public"	0	0	"pre"
"CNC136404"	"SGL"	"central"	0	1	0	0	0	0	12	0	0	"other"	0	"Natural"	0	0	1883	0.38	1	1	"Other"	0	"other"	"none"	0	"raised"	1914	3	2	0	40	107	80000	42639	"city"	"None"	1	"Not Specific"	1	1	0	"Unknown"	"Public"	0	0	"pre"
"CNC136400"	"SGL"	"central"	0	1	0	0	0	0	2	0	0	"other"	0	"Natural"	0	0	1558	0.2	1	1	"Other"	0	"other"	"fence"	1	"slab"	2137	3	2	0	30	210	90000	42767	"city"	"None"	1	"Not Specific"	1	1	0	"Unknown"	"Public"	0	0	"pre"
"CNC136399"	"SGL"	"not_central"	0	0	0	0	0	0	14	0	0	"other"	0	"Natural"	0	1	1068	0.24	1	0	"Other"	0	"other"	"fence"	0	"slab"	1290	3	1	1	36	101	75000	42632	"other"	"None"	1	"Not Specific"	1	1	0	"Unknown"	"Public"	0	0	"pre"
"CNC136396"	"SGL"	"not_central"	0	0	0	0	0	0	13	0	0	"other"	0	"Natural"	0	0	1590	0.27	0	0	"Other"	0	"brick"	"none"	1	"other"	2503	4	2	0	39	77	119000	42608	"city"	"None"	1	"Not Specific"	1	1	0	"Unknown"	"Public"	0	0	"pre"
